Variable,Overall__Emory,Overall__JHU,Overall__NU,Overall__OHSU,Overall__RUSH,Overall__Sunnybrook,Overall__UCMC,Overall__UMN,Overall__UPenn,Overall__ALL
"  Phenylephrine, n (%)","4,469 (15.5%)","3,599 (8.6%)","26,731 (46.2%)","10,348 (37.3%)","3,833 (25.4%)",523 (3.3%),"10,334 (55.9%)","23,020 (42.2%)","26,336 (45.8%)","109,193 (34.4%)"
"    Phenylephrine dose (mcg/kg/min), median [Q1, Q3]","0.50 [0.30, 0.58]","0.50 [0.25, 0.70]","0.41 [0.23, 0.58]","0.07 [0.04, 0.10]","0.42 [0.31, 0.56]","0.95 [0.69, 1.14]","0.50 [0.30, 0.70]","0.30 [0.20, 0.47]","0.46 [0.26, 0.69]","0.4 [0.0, 1.1]"
"  Vasopressin, n (%)","12,184 (42.2%)","10,962 (26.2%)","16,363 (28.3%)","7,302 (26.3%)","4,854 (32.2%)","4,091 (25.7%)","6,564 (35.5%)","15,069 (27.6%)","17,605 (30.6%)","94,994 (29.9%)"
"  Dopamine, n (%)",520 (1.8%),"2,576 (6.2%)","3,518 (6.1%)",919 (3.3%),313 (2.1%),444 (2.8%),"3,214 (17.4%)","5,378 (9.9%)","1,317 (2.3%)","18,199 (5.7%)"
"    Dopamine dose (mcg/kg/min), median [Q1, Q3]","5.00 [3.00, 5.00]","4.00 [2.25, 5.00]","3.00 [2.00, 4.99]","2.76 [2.00, 3.75]","5.00 [2.50, 5.00]","5.00 [4.00, 5.00]","4.00 [2.50, 5.00]","4.00 [2.50, 5.00]","4.00 [2.50, 5.00]","3.9 [2, 5]"
"Sedatives and analgesics, n (%)",,,,,,,,,,
  Propofol,"7,440 (25.8%)","19,494 (46.6%)","36,738 (63.5%)","20,253 (73.0%)","6,570 (43.5%)","7,982 (50.2%)","12,553 (67.9%)","27,854 (51.0%)","32,906 (57.3%)","171,790 (54.1%)"
  Midazolam,"2,148 (7.4%)","6,285 (15.0%)","2,387 (4.1%)","1,260 (4.5%)",714 (4.7%),"3,650 (23.0%)",816 (4.4%),"10,309 (18.9%)","6,330 (11.0%)","33,899 (10.7%)"
  Lorazepam,47 (0.2%),287 (0.7%),432 (0.7%),113 (0.4%),65 (0.4%),15 (0.1%),18 (0.1%),"2,702 (5.0%)",594 (1.0%),"4,273 (1.3%)"
  Dexmedetomidine,"13,872 (48.0%)","16,008 (38.3%)","21,124 (36.5%)","9,596 (34.6%)","5,711 (37.8%)","2,651 (16.7%)","6,045 (32.7%)","21,187 (38.8%)","11,926 (20.8%)","108,120 (34.0%)"
  Fentanyl,"10,115 (35.0%)","14,301 (34.2%)","17,025 (29.4%)","3,239 (11.7%)","6,357 (42.1%)","5,724 (36.0%)","8,403 (45.4%)","17,990 (33.0%)","21,992 (38.3%)","105,146 (33.1%)"
"Neuromuscular blocking agents, n (%)",,,,,,,,,,
  Cisatracurium,550 (1.9%),565 (1.4%),"1,299 (2.2%)",646 (2.3%),628 (4.2%),,562 (3.0%),"1,669 (3.1%)","3,513 (6.1%)","9,432 (3.1%)"
  Rocuronium,,19 (0.0%),117 (0.2%),485 (1.7%),<10,"1,130 (7.1%)",29 (0.2%),209 (0.4%),72 (0.1%),"2,061 (0.7%)"
"Medications during IMV (N=185,058)",,,,,,,,,,
"  Vasopressors, n (%)","17,210 (100.0%)","27,793 (100.0%)","31,198 (100.0%)","16,365 (100.0%)","9,158 (100.0%)",124 (100.0%),"12,513 (100.0%)","32,677 (100.0%)","38,018 (100.0%)","185,056 (100.0%)"
"    Norepinephrine, n (%)","16,606 (96.5%)","25,239 (90.8%)","28,218 (90.4%)","13,497 (82.5%)","8,631 (94.2%)",121 (97.6%),"9,797 (78.3%)","23,932 (73.2%)","29,677 (78.1%)","155,718 (84.1%)"
"      Norepinephrine dose (mcg/kg/min), median [Q1, Q3]","0.05 [0.03, 0.07]","0.06 [0.03, 0.10]","0.05 [0.02, 0.07]","0.02 [0.02, 0.04]","0.06 [0.04, 0.10]","0.06 [0.04, 0.09]","0.08 [0.05, 0.13]","0.05 [0.03, 0.07]","0.05 [0.03, 0.07]","0.1 [0.0, 0.1]"
"    Epinephrine, n (%)","8,214 (47.7%)","9,413 (33.9%)","9,284 (29.8%)","4,664 (28.5%)","2,543 (27.8%)",13 (10.5%),"4,029 (32.2%)","15,244 (46.7%)","19,991 (52.6%)","73,395 (39.7%)"
"      Epinephrine dose (mcg/kg/min), median [Q1, Q3]","0.04 [0.03, 0.05]","0.03 [0.02, 0.05]","0.03 [0.02, 0.04]","0.02 [0.02, 0.03]","0.05 [0.02, 0.08]","0.11 [0.10, 0.15]","0.10 [0.05, 0.17]","0.03 [0.02, 0.04]","0.03 [0.02, 0.04]","0.0 [0.0, 0.2]"
"    Phenylephrine, n (%)","2,257 (13.1%)","2,372 (8.5%)","11,204 (35.9%)","5,764 (35.2%)","2,272 (24.8%)",<10,"6,773 (54.1%)","12,779 (39.1%)","18,243 (48.0%)","61,664 (33.3%)"
"      Phenylephrine dose (mcg/kg/min), median [Q1, Q3]","0.55 [0.45, 0.80]","0.53 [0.30, 0.80]","0.59 [0.32, 0.90]","0.07 [0.04, 0.10]","0.59 [0.35, 0.93]","1.03 [0.81, 1.12]","0.58 [0.45, 1.00]","0.35 [0.20, 0.50]","0.50 [0.27, 0.75]","0.5 [0.0, 1.1]"
"    Vasopressin, n (%)","9,599 (55.8%)","9,380 (33.7%)","13,507 (43.3%)","5,498 (33.6%)","3,892 (42.5%)",32 (25.8%),"5,774 (46.1%)","12,630 (38.7%)","15,054 (39.6%)","75,366 (40.7%)"
"    Dopamine, n (%)",321 (1.9%),"1,541 (5.5%)","2,234 (7.2%)",434 (2.7%),147 (1.6%),<10,"2,406 (19.2%)","3,500 (10.7%)",656 (1.7%),"11,239 (6.1%)"
"      Dopamine dose (mcg/kg/min), median [Q1, Q3]","5.00 [3.00, 5.00]","4.00 [2.50, 5.00]","3.00 [2.00, 4.00]","3.00 [2.00, 4.00]","5.00 [2.75, 5.00]","3.50 [3.50, 3.50]","4.00 [2.50, 5.00]","4.00 [2.50, 5.00]","5.00 [3.00, 5.00]","4.0 [2, 5]"
"  Sedatives and analgesics, n (%)",,,,,,,,,,
    Propofol,"7,431 (43.2%)","19,452 (70.0%)","27,630 (88.6%)","14,639 (89.5%)","6,416 (70.1%)",69 (55.6%),"11,018 (88.0%)","24,220 (74.1%)","32,381 (85.2%)","143,256 (77.4%)"
    Midazolam,"2,099 (12.2%)","6,251 (22.5%)","2,382 (7.6%)","1,131 (6.9%)",710 (7.8%),35 (28.2%),813 (6.5%),"10,175 (31.1%)","6,289 (16.5%)","29,885 (16.1%)"
    Lorazepam,45 (0.3%),274 (1.0%),412 (1.3%),82 (0.5%),64 (0.7%),,17 (0.1%),"2,006 (6.1%)",565 (1.5%),"3,465 (1.9%)"
    Dexmedetomidine,"12,545 (72.9%)","15,119 (54.4%)","18,616 (59.7%)","7,045 (43.0%)","5,242 (57.2%)",24 (19.4%),"5,608 (44.8%)","18,186 (55.7%)","11,030 (29.0%)","93,415 (50.5%)"
    Fentanyl,"10,042 (58.3%)","13,934 (50.1%)","16,801 (53.9%)","3,070 (18.8%)","6,111 (66.7%)",43 (34.7%),"8,110 (64.8%)","17,321 (53.0%)","21,671 (57.0%)","97,103 (52.5%)"
"  Neuromuscular blocking agents, n (%)",,,,,,,,,,
    Cisatracurium,549 (3.2%),565 (2.0%),"1,298 (4.2%)",624 (3.8%),627 (6.8%),,561 (4.5%),"1,626 (5.0%)","3,511 (9.2%)","9,361 (5.1%)"
    Rocuronium,,18 (0.1%),106 (0.3%),433 (2.6%),<10,<10,27 (0.2%),132 (0.4%),72 (0.2%),788 (0.5%)
  First admission location: hospice,,,,,<10,,,,,
  First location at IMV start: other,,,53 (0.2%),,,<10,,,,53 (0.2%)
