Variable,Overall__Emory,Overall__JHU,Overall__MIMIC,Overall__NU,Overall__OHSU,Overall__RUSH,Overall__Sunnybrook,Overall__UCMC,Overall__UCSF,Overall__UMN,Overall__UPenn,Overall__ALL
"  Tidal volume (mL), median [Q1, Q3]","400.0 [400.0, 400.0]","400.0 [400.0, 400.0]","420.0 [420.0, 420.0]","440.0 [420.0, 450.0]","455.0 [450.0, 475.0]","400.0 [400.0, 400.0]","400.0 [400.0, 400.0]","420.0 [420.0, 420.0]","465.0 [465.0, 465.0]","500.0 [490.0, 500.0]","450.0 [450.0, 450.0]","448.9 [400, 500]"
"Time to extubation (hrs), median [Q1, Q3]","11.7 [5.0, 21.6]","61.0 [23.1, 132.1]",,"70.1 [32.2, 153.7]","1.6 [1.1, 2.4]","41.4 [13.3, 122.9]","36.6 [6.3, 117.5]","14.9 [7.5, 24.2]",,"9.3 [3.7, 25.3]","7.6 [3.0, 11.3]","20.0 [1.1, 153.7]"
  Extubation outcome: extubated,404 (22.7%),364 (23.5%),<10,151 (49.8%),753 (83.5%),13 (22.8%),717 (69.1%),62 (32.6%),<10,189 (8.3%),36 (15.3%),"2,689 (32.3%)"
  Extubation outcome: death_on_imv,333 (18.7%),479 (30.9%),,98 (32.3%),16 (1.8%),28 (49.1%),11 (1.1%),20 (10.5%),<10,480 (21.0%),78 (33.2%),"1,543 (18.6%)"
  Extubation outcome: discharged_on_imv,"1,011 (56.8%)",691 (44.6%),<10,50 (16.5%),130 (14.4%),14 (24.6%),294 (28.3%),108 (56.8%),,"1,616 (70.6%)",121 (51.5%),"4,035 (48.4%)"
  Extubation outcome: failed_attempt,32 (1.8%),15 (1.0%),,<10,<10,<10,15 (1.4%),,,<10,,
  Extubation outcome: unknown,,<10,,,,<10,<10,,,,,
"Pre-admit IMV (excluded from time-to-extubation), n (%)",635 (5.2%),646 (4.3%),<10,46 (4.8%),620 (11.4%),32 (0.8%),640 (6.2%),40 (0.7%),<10,"1,179 (2.8%)",78 (0.4%),"3,916 (3.4%)"
"Intubated ≤24hr of admission, n (%)",58 (0.5%),154 (1.0%),0 (0.0%),94 (9.8%),166 (3.1%),<10,<10,34 (0.6%),0 (0.0%),159 (0.4%),14 (0.1%),679 (0.7%)
"Reintubation (≥2 IMV episodes), n (%)",189 (1.5%),81 (0.5%),0 (0.0%),29 (3.0%),<10,<10,112 (1.1%),<10,0 (0.0%),49 (0.1%),<10,460 (0.5%)
"  Time to reintubation (hrs), median [Q1, Q3]","10.0 [4.4, 14.5]","9.6 [4.2, 31.0]",,"4.1 [2.4, 9.2]","1.5 [0.8, 14.2]","39.5 [15.8, 114.0]","30.0 [8.8, 131.4]","3.3 [2.5, 5.5]",,"11.2 [2.5, 14.3]","65.9 [43.6, 88.2]","21.7 [0.8, 131.4]"
"  Extubation failure ≤48hr, n (% of extubated)",165 (40.8%),64 (17.6%),0 (0.0%),25 (16.6%),<10,<10,64 (8.9%),<10,0 (0.0%),48 (25.4%),<10,366 (19.3%)
"28-day NIDFD (NIPPV/HFNC encounters), n (%)","8,220 (67.2%)","3,587 (24.0%)",<10,733 (76.2%),"2,327 (42.9%)",649 (15.2%),443 (4.3%),"2,837 (49.2%)",<10,"34,041 (80.2%)","18,852 (98.8%)","71,689 (62.1%)"
"  NIDFD, median [Q1, Q3]","26 [23, 27]","24 [0, 26]","25 [24, 26]","24 [0, 26]","24 [21, 26]","25 [21, 26]","25 [20, 27]","26 [23, 27]","0 [0, 0]","26 [23, 27]","25 [22, 27]","25.3 [0, 27]"
"Vasopressor encounters, n (%)",478 (3.9%),826 (5.5%),0 (0.0%),277 (28.8%),294 (5.4%),16 (0.4%),<10,72 (1.2%),0 (0.0%),728 (1.7%),193 (1.0%),"2,884 (2.7%)"
"  Norepinephrine, n (%)",338 (2.8%),762 (5.1%),0 (0.0%),256 (26.6%),31 (0.6%),14 (0.3%),<10,58 (1.0%),0 (0.0%),536 (1.3%),164 (0.9%),"2,159 (2.0%)"
"    Norepinephrine dose (mcg/kg/min), median [Q1, Q3]","0.15 [0.08, 0.23]","0.09 [0.05, 0.15]",,"0.06 [0.03, 0.09]","0.02 [0.02, 0.05]","0.06 [0.03, 0.08]","nan [nan, nan]","0.05 [0.03, 0.07]",,"0.06 [0.03, 0.09]","0.05 [0.02, 0.09]","0.1 [0.0, 0.2]"
"  Epinephrine, n (%)",93 (0.8%),137 (0.9%),0 (0.0%),36 (3.7%),15 (0.3%),<10,<10,12 (0.2%),0 (0.0%),143 (0.3%),31 (0.2%),467 (0.5%)
"    Epinephrine dose (mcg/kg/min), median [Q1, Q3]","0.20 [0.10, 0.36]","0.11 [0.05, 0.21]",,"0.07 [0.03, 0.09]","0.05 [0.03, 0.11]","0.05 [0.03, 0.09]","nan [nan, nan]","0.06 [0.03, 0.07]",,"0.05 [0.03, 0.09]","0.08 [0.08, 0.10]","0.1 [0.0, 0.4]"
"  Phenylephrine, n (%)",136 (1.1%),68 (0.5%),0 (0.0%),104 (10.8%),265 (4.9%),<10,0 (0.0%),12 (0.2%),0 (0.0%),74 (0.2%),18 (0.1%),677 (0.7%)
"    Phenylephrine dose (mcg/kg/min), median [Q1, Q3]","0.60 [0.50, 0.82]","0.60 [0.38, 0.95]",,"1.01 [0.57, 1.52]","0.05 [0.03, 0.07]","0.48 [0.32, 1.43]",,"0.34 [0.16, 0.45]",,"0.23 [0.13, 0.29]","0.31 [0.17, 0.49]","0.4 [0.0, 1.5]"
"  Vasopressin, n (%)",86 (0.7%),291 (1.9%),0 (0.0%),110 (11.4%),13 (0.2%),<10,<10,<10,0 (0.0%),102 (0.2%),12 (0.1%),614 (0.6%)
"  Dopamine, n (%)",11 (0.1%),61 (0.4%),0 (0.0%),22 (2.3%),<10,0 (0.0%),0 (0.0%),<10,0 (0.0%),107 (0.3%),<10,201 (0.3%)
"    Dopamine dose (mcg/kg/min), median [Q1, Q3]","5.00 [5.00, 6.00]","3.00 [2.06, 4.19]",,"5.00 [2.75, 6.00]","5.00 [1.50, 6.50]",,,"10.00 [5.07, 15.07]",,"5.00 [3.00, 5.00]","5.00 [3.75, 5.00]","5.0 [1.5, 15.1]"
"Sedatives and analgesics, n (%)",,,,,,,,,,,,
  Propofol,85 (0.7%),526 (3.5%),<10,208 (21.6%),524 (9.7%),12 (0.3%),0 (0.0%),360 (6.2%),<10,788 (1.9%),51 (0.3%),"2,554 (2.3%)"
  Midazolam,44 (0.4%),208 (1.4%),0 (0.0%),88 (9.1%),15 (0.3%),<10,<10,<10,<10,178 (0.4%),<10,533 (0.7%)
  Lorazepam,0 (0.0%),17 (0.1%),0 (0.0%),<10,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),28 (0.1%),<10,45 (0.1%)
  Dexmedetomidine,38 (0.3%),239 (1.6%),<10,172 (17.9%),116 (2.1%),11 (0.3%),0 (0.0%),53 (0.9%),<10,88 (0.2%),0 (0.0%),717 (0.6%)
  Fentanyl,132 (1.1%),395 (2.6%),<10,205 (21.3%),17 (0.3%),14 (0.3%),0 (0.0%),100 (1.7%),<10,315 (0.7%),46 (0.2%),"1,224 (1.0%)"
"Neuromuscular blocking agents, n (%)",,,,,,,,,,,,
  Cisatracurium,0 (0.0%),16 (0.1%),0 (0.0%),33 (3.4%),<10,<10,,<10,0 (0.0%),<10,0 (0.0%),49 (0.1%)
  Rocuronium,,<10,0 (0.0%),0 (0.0%),60 (1.1%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),<10,0 (0.0%),60 (0.1%)
