Variable,Overall__Emory,Overall__JHU,Overall__OHSU,Overall__RUSH,Overall__Sunnybrook,Overall__UCMC,Overall__UMN,Overall__UPenn,Overall__ALL
"    Norepinephrine dose (mcg/kg/min), median [Q1, Q3]","0.04 [0.02, 0.05]","0.04 [0.01, 0.06]","0.02 [0.01, 0.03]","0.02 [0.01, 0.02]","nan [nan, nan]","0.03 [0.01, 0.04]","0.03 [0.02, 0.03]","0.02 [0.01, 0.03]","0.0 [0.0, 0.1]"
"  Epinephrine, n (%)",<10,19 (2.8%),<10,<10,0 (0.0%),18 (7.2%),22 (7.4%),15 (2.5%),74 (4.0%)
"    Epinephrine dose (mcg/kg/min), median [Q1, Q3]","0.30 [0.28, 0.30]","0.04 [0.01, 0.06]","0.01 [0.00, 0.01]","0.01 [0.01, 0.01]",,"0.03 [0.02, 0.04]","0.03 [0.01, 0.04]","0.02 [0.00, 0.02]","0.1 [0, 0.3]"
"  Phenylephrine, n (%)",<10,40 (5.8%),<10,<10,<10,20 (8.0%),17 (5.7%),11 (1.8%),88 (4.8%)
"    Phenylephrine dose (mcg/kg/min), median [Q1, Q3]","0.50 [0.25, 0.75]","0.37 [0.18, 0.51]","0.07 [0.02, 0.09]","0.18 [0.18, 0.18]","nan [nan, nan]","0.28 [0.17, 0.40]","0.50 [0.23, 0.60]","0.31 [0.13, 0.45]","0.4 [0.0, 0.8]"
"  Vasopressin, n (%)",<10,20 (2.9%),<10,<10,0 (0.0%),<10,17 (5.7%),<10,
"  Dopamine, n (%)",<10,25 (3.6%),<10,<10,0 (0.0%),<10,37 (12.4%),<10,
"    Dopamine dose (mcg/kg/min), median [Q1, Q3]","3.75 [1.87, 5.62]","5.00 [2.00, 6.00]","5.00 [2.50, 7.50]","0.00 [0.00, 0.00]",,"3.00 [2.50, 4.00]","3.00 [2.50, 3.75]","2.50 [1.25, 3.75]","3.9 [0, 7.5]"
"Sedatives and analgesics, n (%)",,,,,,,,,
  Propofol,<10,21 (3.0%),<10,0 (0.0%),<10,26 (10.4%),14 (4.7%),<10,61 (4.9%)
  Midazolam,0 (0.0%),16 (2.3%),<10,0 (0.0%),0 (0.0%),<10,<10,0 (0.0%),16 (1.1%)
