value,mimic_iv_probability,nu_probability,ucmc_probability
128.0,,0.5136028476989576,0.5743016516320216
129.0,,0.5148741418764302,0.5762844816315859
130.0,0.5822211838915983,0.516653953724892,0.5788120451475138
131.0,,0.5174167302313756,0.5801847736087506
132.0,,0.5179252479023646,0.5818625528391511
133.0,,0.5194508009153318,0.5833006493223515
134.0,,0.521484871599288,0.5850220072340611
135.0,,0.5227561657767608,0.5866126291018434
136.0,,0.5240274599542334,0.5884211443761712
137.0,,0.524790236460717,0.589837451518717
138.0,,0.5252987541317061,0.5915152307491175
139.0,,0.5265700483091788,0.5931276419575544
140.0,0.594486464386882,0.5273328248156623,0.594848999869264
141.0,,,0.5962435176711552
142.0,,0.528095601322146,0.5978559288795922
143.0,,0.5298754131706077,0.5994029720660653
144.0,,0.5303839308415967,0.6007103325053383
145.0,,0.5308924485125858,0.6021484289885388
146.0,,0.532418001525553,0.6033686320651938
147.0,,0.5329265191965421,0.6048067285483941
148.0,,0.5341978133740147,0.6061794570096309
149.0,,0.5347063310450039,0.6076611321741404
150.0,0.6054084046374442,0.5359776252224765,0.6096875408550138
151.0,,0.5372489193999491,0.6110384799755959
152.0,,0.5385202135774219,0.6126944698653419
153.0,,0.5397915077548945,0.6137403582167603
154.0,,0.540045766590389,0.6150259293153789
155.0,,0.5413170607678617,0.6163768684359612
156.0,,0.5420798372743453,0.6174881248093432
157.0,,0.5428426137808289,0.6193837974462892
158.0,,0.543859649122807,0.6208872619514534
159.0,,0.5451309433002797,0.6225650411818539
160.0,0.6154250503752592,0.5456394609712687,0.6244825031594544
161.0,,0.5461479786422578,0.6257027062361092
162.0,,0.5464022374777524,0.6271625920599643
163.0,,0.5466564963132469,0.6286224778838192
164.0,,0.5474192728197305,0.629799102279165
165.0,,0.5479277904907196,0.6311282520590927
166.0,,0.5494533435036868,0.6325445592016385
167.0,,0.5497076023391813,0.6338083409596026
168.0,,0.551487414187643,0.635050333376912
169.0,,,0.636510219200767
170.0,0.6251788686738896,0.551995931858632,0.6383405238157493
171.0,,0.5522501906941266,0.639713252276986
172.0,,0.5532672260361048,0.6410206127162592
173.0,,0.5540300025425884,0.6421100797489868
174.0,,0.5542842613780828,0.643221336122369
175.0,,0.554792779049072,0.6446376432649148
176.0,,0.555301296720061,0.6457053209569878
177.0,,0.5570811085685228,0.6465551052425154
178.0,,0.5573353674040172,0.6477317296378612
179.0,,0.5580981439105009,0.6489301433738615
