Variable,Overall__Emory,Overall__MIMIC,Overall__NU,Overall__OHSU,Overall__RUSH,Overall__UCMC,Overall__UCSF,Overall__UMN,Overall__UPenn,Overall__ALL
"  Epinephrine, n (%)","8,612 (25.8%)","3,680 (9.0%)","9,537 (16.9%)","4,867 (19.2%)","2,689 (12.8%)","4,133 (17.8%)","5,467 (16.4%)","15,628 (22.6%)","20,858 (28.9%)","75,471 (20.1%)"
"    Epinephrine dose (mcg/kg/min), median [Q1, Q3]","0.04 [0.03, 0.05]","0.02 [0.01, 0.03]","0.03 [0.02, 0.04]","0.02 [0.02, 0.03]","0.05 [0.02, 0.08]","0.10 [0.05, 0.17]","0.04 [0.03, 0.05]","0.03 [0.02, 0.04]","0.03 [0.02, 0.03]","0.0 [0.0, 0.2]"
"  Phenylephrine, n (%)","2,644 (7.9%)","15,402 (37.9%)","13,418 (23.8%)","6,223 (24.5%)","2,486 (11.8%)","7,185 (30.9%)","3,751 (11.2%)","14,400 (20.8%)","19,810 (27.5%)","85,319 (22.8%)"
"    Phenylephrine dose (mcg/kg/min), median [Q1, Q3]","0.50 [0.40, 0.75]","0.50 [0.25, 0.80]","0.54 [0.30, 0.80]","0.07 [0.04, 0.10]","0.54 [0.34, 0.87]","0.55 [0.44, 0.95]","0.50 [0.33, 0.68]","0.34 [0.20, 0.50]","0.50 [0.27, 0.74]","0.5 [0.0, 0.9]"
"  Vasopressin, n (%)","10,414 (31.2%)","5,051 (12.4%)","14,532 (25.8%)","5,819 (22.9%)","4,223 (20.1%)","6,022 (25.9%)","5,374 (16.1%)","13,488 (19.5%)","16,035 (22.2%)","80,958 (21.6%)"
"  Dopamine, n (%)",385 (1.2%),"1,393 (3.4%)","2,538 (4.5%)",513 (2.0%),177 (0.8%),"2,586 (11.1%)","1,328 (4.0%)","4,093 (5.9%)",832 (1.2%),"13,845 (3.7%)"
"    Dopamine dose (mcg/kg/min), median [Q1, Q3]","5.00 [3.00, 5.00]","5.00 [2.00, 7.08]","3.00 [2.00, 4.00]","3.00 [2.00, 4.00]","5.00 [2.56, 5.00]","4.00 [2.50, 5.00]","3.00 [3.00, 4.00]","4.00 [2.50, 5.00]","5.00 [2.75, 5.00]","4.1 [2, 7.1]"
"Sedatives and analgesics, n (%)",,,,,,,,,,
  Propofol,"9,031 (27.1%)","26,998 (66.4%)","35,624 (63.2%)","19,360 (76.2%)","8,831 (42.1%)","16,343 (70.3%)","21,891 (65.6%)","34,935 (50.4%)","40,378 (56.0%)","213,391 (56.9%)"
  Midazolam,"2,580 (7.7%)","7,470 (18.4%)","2,938 (5.2%)","1,352 (5.3%)",915 (4.4%),998 (4.3%),"3,601 (10.8%)","12,573 (18.1%)","7,270 (10.1%)","39,697 (10.6%)"
  Lorazepam,52 (0.2%),38 (0.1%),517 (0.9%),99 (0.4%),75 (0.4%),25 (0.1%),49 (0.1%),"3,001 (4.3%)",645 (0.9%),"4,501 (1.2%)"
  Dexmedetomidine,"15,718 (47.1%)","7,600 (18.7%)","22,949 (40.7%)","9,377 (36.9%)","7,141 (34.0%)","7,925 (34.1%)","11,555 (34.6%)","24,031 (34.7%)","14,282 (19.8%)","120,578 (32.2%)"
  Fentanyl,"11,894 (35.7%)","14,285 (35.1%)","20,263 (36.0%)","3,949 (15.5%)","8,698 (41.5%)","11,267 (48.5%)","9,723 (29.1%)","21,822 (31.5%)","28,105 (39.0%)","130,006 (34.7%)"
"Neuromuscular blocking agents, n (%)",,,,,,,,,,
  Cisatracurium,555 (1.7%),"1,715 (4.2%)","1,347 (2.4%)",652 (2.6%),659 (3.1%),590 (2.5%),"1,437 (4.3%)","1,766 (2.5%)","3,668 (5.1%)","12,389 (3.3%)"
  Rocuronium,,313 (0.8%),124 (0.2%),489 (1.9%),10 (0.0%),27 (0.1%),10 (0.0%),162 (0.2%),76 (0.1%),"1,211 (0.3%)"
"Medications during IMV (N=270,545)",,,,,,,,,,
"  Vasopressors, n (%)","17,210 (80.1%)","21,228 (59.4%)","31,198 (81.1%)","16,365 (78.3%)","9,158 (65.7%)","12,513 (68.7%)","17,896 (66.9%)","32,677 (71.0%)","38,018 (77.4%)","196,263 (72.5%)"
"    Norepinephrine, n (%)","16,606 (77.3%)","11,381 (31.9%)","28,218 (73.4%)","13,497 (64.6%)","8,631 (61.9%)","9,797 (53.8%)","15,431 (57.7%)","23,932 (52.0%)","29,677 (60.4%)","157,170 (58.1%)"
"      Norepinephrine dose (mcg/kg/min), median [Q1, Q3]","0.05 [0.03, 0.07]","0.07 [0.03, 0.12]","0.05 [0.02, 0.07]","0.02 [0.02, 0.04]","0.06 [0.04, 0.10]","0.08 [0.05, 0.13]","0.05 [0.03, 0.08]","0.05 [0.03, 0.07]","0.05 [0.03, 0.07]","0.1 [0.0, 0.1]"
"    Epinephrine, n (%)","8,214 (38.2%)","3,661 (10.2%)","9,284 (24.1%)","4,664 (22.3%)","2,543 (18.2%)","4,029 (22.1%)","5,257 (19.7%)","15,244 (33.1%)","19,991 (40.7%)","72,887 (26.9%)"
"      Epinephrine dose (mcg/kg/min), median [Q1, Q3]","0.04 [0.03, 0.05]","0.02 [0.01, 0.03]","0.03 [0.02, 0.04]","0.02 [0.02, 0.03]","0.05 [0.02, 0.08]","0.10 [0.05, 0.17]","0.04 [0.03, 0.05]","0.03 [0.02, 0.04]","0.03 [0.02, 0.04]","0.0 [0.0, 0.2]"
"    Phenylephrine, n (%)","2,257 (10.5%)","15,106 (42.3%)","11,204 (29.1%)","5,764 (27.6%)","2,272 (16.3%)","6,773 (37.2%)","3,506 (13.1%)","12,779 (27.8%)","18,243 (37.2%)","77,904 (28.8%)"
"      Phenylephrine dose (mcg/kg/min), median [Q1, Q3]","0.55 [0.45, 0.80]","0.50 [0.25, 0.80]","0.59 [0.32, 0.90]","0.07 [0.04, 0.10]","0.59 [0.35, 0.93]","0.58 [0.45, 1.00]","0.50 [0.33, 0.69]","0.35 [0.20, 0.50]","0.50 [0.27, 0.75]","0.5 [0.0, 1]"
"    Vasopressin, n (%)","9,599 (44.7%)","4,955 (13.9%)","13,507 (35.1%)","5,498 (26.3%)","3,892 (27.9%)","5,774 (31.7%)","4,996 (18.7%)","12,630 (27.5%)","15,054 (30.7%)","75,905 (28.1%)"
"    Dopamine, n (%)",321 (1.5%),"1,299 (3.6%)","2,234 (5.8%)",434 (2.1%),147 (1.1%),"2,406 (13.2%)","1,215 (4.5%)","3,500 (7.6%)",656 (1.3%),"12,212 (4.5%)"
"      Dopamine dose (mcg/kg/min), median [Q1, Q3]","5.00 [3.00, 5.00]","5.00 [2.00, 7.50]","3.00 [2.00, 4.00]","3.00 [2.00, 4.00]","5.00 [2.75, 5.00]","4.00 [2.50, 5.00]","3.00 [3.00, 4.25]","4.00 [2.50, 5.00]","5.00 [3.00, 5.00]","4.1 [2, 7.5]"
"  Sedatives and analgesics, n (%)",,,,,,,,,,
    Propofol,"9,024 (42.0%)","26,989 (75.5%)","33,265 (86.5%)","18,455 (88.3%)","8,773 (62.9%)","15,932 (87.5%)","21,852 (81.7%)","33,851 (73.6%)","40,201 (81.9%)","208,342 (77.0%)"
    Midazolam,"2,532 (11.8%)","7,468 (20.9%)","2,932 (7.6%)","1,328 (6.4%)",909 (6.5%),995 (5.5%),"3,420 (12.8%)","12,505 (27.2%)","7,231 (14.7%)","39,320 (14.5%)"
    Lorazepam,50 (0.2%),37 (0.1%),487 (1.3%),96 (0.5%),75 (0.5%),25 (0.1%),45 (0.2%),"2,630 (5.7%)",613 (1.2%),"4,058 (1.5%)"
    Dexmedetomidine,"14,325 (66.7%)","7,512 (21.0%)","21,441 (55.7%)","8,694 (41.6%)","6,730 (48.3%)","7,694 (42.2%)","10,981 (41.1%)","22,315 (48.5%)","13,458 (27.4%)","113,150 (41.8%)"
    Fentanyl,"11,856 (55.2%)","14,279 (40.0%)","20,109 (52.3%)","3,924 (18.8%)","8,533 (61.2%)","11,074 (60.8%)","9,052 (33.9%)","21,464 (46.7%)","27,829 (56.7%)","128,120 (47.4%)"
"  Neuromuscular blocking agents, n (%)",,,,,,,,,,
    Cisatracurium,555 (2.6%),"1,715 (4.8%)","1,347 (3.5%)",650 (3.1%),657 (4.7%),588 (3.2%),"1,436 (5.4%)","1,755 (3.8%)","3,667 (7.5%)","12,370 (4.6%)"
    Rocuronium,,313 (0.9%),122 (0.3%),482 (2.3%),<10,27 (0.1%),10 (0.0%),155 (0.3%),76 (0.2%),"1,185 (0.5%)"
  First admission location: Missing,,,,,,,,,,
Ventilator hours,,,,,,,,,,
  First location at IMV start: Missing,,,,,,,,,,
  First admission location: hospice,,,,,<10,,,,,
  First admission location: psych,,<10,,<10,,,,,,
  First location at IMV start: other,,33 (0.1%),70 (0.2%),,,,"1,934 (7.2%)",<10,<10,"2,037 (2.1%)"
  Initial ventilator mode: volume support,,<10,,13 (0.1%),,<10,,,<10,
