Variable,Overall__Emory,Overall__MIMIC,Overall__OHSU,Overall__RUSH,Overall__Sunnybrook,Overall__UCMC,Overall__UMN,Overall__UPenn,Overall__ALL
"  Dopamine, n (%)",448 (0.1%),"1,377 (0.3%)",722 (0.4%),146 (0.1%),241 (0.1%),"2,478 (1.6%)","4,563 (0.5%)",998 (0.1%),"10,973 (0.3%)"
"    Dopamine dose (mcg/kg/min), median [Q1, Q3]","5.00 [2.50, 5.00]","4.00 [2.00, 5.03]","2.50 [1.50, 3.00]","5.00 [2.50, 5.00]","4.00 [3.00, 5.00]","3.00 [2.50, 5.00]","3.50 [2.50, 5.00]","3.50 [2.50, 5.00]","3.8 [1.5, 5.0]"
"Sedatives and analgesics, n (%)",,,,,,,,,
  Propofol,"7,152 (1.5%)","21,181 (5.1%)","57,272 (28.5%)","5,730 (2.9%)","7,991 (4.2%)","26,878 (17.0%)","122,803 (12.3%)","33,845 (4.8%)","282,852 (8.5%)"
  Midazolam,"2,709 (0.6%)","5,297 (1.3%)","1,320 (0.7%)",361 (0.2%),"2,343 (1.2%)",568 (0.4%),"9,170 (0.9%)","4,615 (0.6%)","26,383 (0.8%)"
  Lorazepam,42 (0.0%),25 (0.0%),115 (0.1%),45 (0.0%),11 (0.0%),15 (0.0%),"13,376 (1.3%)",479 (0.1%),"14,108 (0.5%)"
  Dexmedetomidine,"16,318 (3.5%)","6,117 (1.5%)","17,459 (8.7%)","5,428 (2.7%)","2,927 (1.5%)","8,030 (5.1%)","33,308 (3.3%)","13,196 (1.9%)","102,783 (3.1%)"
  Fentanyl,"22,686 (4.9%)","10,658 (2.6%)","3,514 (1.7%)","5,459 (2.8%)","4,648 (2.4%)","8,680 (5.5%)","23,255 (2.3%)","21,143 (3.0%)","100,043 (3.0%)"
"Neuromuscular blocking agents, n (%)",,,,,,,,,
  Cisatracurium,345 (0.1%),966 (0.2%),393 (0.2%),294 (0.1%),,288 (0.2%),"1,530 (0.2%)","2,065 (0.3%)","5,881 (0.2%)"
  Rocuronium,,175 (0.0%),"1,543 (0.8%)",<10,649 (0.3%),25 (0.0%),338 (0.0%),41 (0.0%),"2,771 (0.1%)"
